"Topic","Sentiment","TweetId","TweetDate","TweetText"
"b'apple'","b'positive'","b'126357982685569024'","b'Tue Oct 18 18:04:25 +0000 2011'","b'\xe4\xbd\xa0\xe5\xa5\xbd ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  \xee\x94\x96\xee\x94\x93'"
"b'apple'","b'positive'","b'126352268705538048'","b'Tue Oct 18 17:41:43 +0000 2011'","b'Come to the dark side \xf0\x9f\x93\xb1\xe2\x80\x9c@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.\xe2\x80\x9d'"
"b'apple'","b'positive'","b'126350302113824769'","b'Tue Oct 18 17:33:54 +0000 2011'","b'Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.'"
"b'apple'","b'positive'","b'126342268603998208'","b'Tue Oct 18 17:01:58 +0000 2011'","b'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.'"
"b'apple'","b'positive'","b'126325800080392193'","b'Tue Oct 18 15:56:32 +0000 2011'","b'@DailyDealChat @apple Thanks!!'"
"b'apple'","b'positive'","b'126324177501302784'","b'Tue Oct 18 15:50:05 +0000 2011'","b'iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes'"
"b'apple'","b'positive'","b'126322063332999169'","b'Tue Oct 18 15:41:41 +0000 2011'","b'@apple @siri is efffing amazing!!'"
"b'apple'","b'positive'","b'126318009647235072'","b'Tue Oct 18 15:25:35 +0000 2011'","b'RT @TripLingo: We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
"b'apple'","b'positive'","b'126315223060709376'","b'Tue Oct 18 15:14:30 +0000 2011'","b'We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
"b'apple'","b'positive'","b'126315011600678913'","b'Tue Oct 18 15:13:40 +0000 2011'","b""When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered\n\n\xef\xa3\xbf\xef\xa3\xbf\xef\xa3\xbf"""
"b'apple'","b'positive'","b'126314687116750849'","b'Tue Oct 18 15:12:22 +0000 2011'","b'We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16'"
"b'apple'","b'positive'","b'126311981564178432'","b'Tue Oct 18 15:01:37 +0000 2011'","b'---\xc2\xbb RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?'"
"b'apple'","b'positive'","b'126307801046847488'","b'Tue Oct 18 14:45:01 +0000 2011'","b""RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ..."""
"b'apple'","b'positive'","b'126302673820594176'","b'Tue Oct 18 14:24:38 +0000 2011'","b""I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!"""
"b'apple'","b'positive'","b'126301956951117826'","b'Tue Oct 18 14:21:47 +0000 2011'","b""@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN"""
"b'apple'","b'positive'","b'126287654093471745'","b'Tue Oct 18 13:24:57 +0000 2011'","b'At the bus with my iPhone ;) thxx @apple'"
"b'apple'","b'positive'","b'126284506360578049'","b'Tue Oct 18 13:12:27 +0000 2011'","b'@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.'"
"b'apple'","b'positive'","b'126263834968211456'","b'Tue Oct 18 11:50:18 +0000 2011'","b'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad'"
"b'apple'","b'positive'","b'126256230397259776'","b'Tue Oct 18 11:20:05 +0000 2011'","b'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA'"
"b'apple'","b'positive'","b'126195522691280896'","b'Tue Oct 18 07:18:51 +0000 2011'","b'@bkad5161 than apologize to @apple ;)'"
"b'apple'","b'positive'","b'126183339945234432'","b'Tue Oct 18 06:30:27 +0000 2011'","b'@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX'"
"b'apple'","b'positive'","b'126180209501286400'","b'Tue Oct 18 06:18:01 +0000 2011'","b'Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI'"
"b'apple'","b'positive'","b'126164430546403328'","b'Tue Oct 18 05:15:18 +0000 2011'","b'Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s'"
"b'apple'","b'positive'","b'126140794078892033'","b'Tue Oct 18 03:41:23 +0000 2011'","b""Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now"""
"b'apple'","b'positive'","b'126134400466419712'","b'Tue Oct 18 03:15:59 +0000 2011'","b""Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -"""
"b'apple'","b'positive'","b'126116898051076096'","b'Tue Oct 18 02:06:26 +0000 2011'","b'#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple'"
"b'apple'","b'positive'","b'126116614495154176'","b'Tue Oct 18 02:05:18 +0000 2011'","b'Well at least the @apple store has amazing call waiting music! #need4s'"
"b'apple'","b'positive'","b'126112836219973632'","b'Tue Oct 18 01:50:17 +0000 2011'","b'#sweet... #apple replaced my glass #probono. thank you @apple'"
"b'apple'","b'positive'","b'126107965991297024'","b'Tue Oct 18 01:30:56 +0000 2011'","b'Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad'"
"b'apple'","b'positive'","b'126104732426186752'","b'Tue Oct 18 01:18:05 +0000 2011'","b'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'"
"b'apple'","b'positive'","b'126097426493878272'","b'Tue Oct 18 00:49:03 +0000 2011'","b""I'm loving this new IOS5 update :) @apple"""
"b'apple'","b'positive'","b'126095744531832832'","b'Tue Oct 18 00:42:22 +0000 2011'","b'Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...'"
"b'apple'","b'positive'","b'126084907343691776'","b'Mon Oct 17 23:59:19 +0000 2011'","b'Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.'"
"b'apple'","b'positive'","b'126076238375817216'","b'Mon Oct 17 23:24:52 +0000 2011'","b'#iCloud set up was flawless and works like a champ! To the Cloud @Apple'"
"b'apple'","b'positive'","b'126075534894571520'","b'Mon Oct 17 23:22:04 +0000 2011'","b""@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!"""
"b'apple'","b'positive'","b'126064519943426048'","b'Mon Oct 17 22:38:18 +0000 2011'","b'@apple loving the new IOS5 upgrade for the iPhone!'"
"b'apple'","b'positive'","b'126063358037340161'","b'Mon Oct 17 22:33:41 +0000 2011'","b'Once again getting great customer service from the @apple store at millenia mall.'"
"b'apple'","b'positive'","b'126059405941809152'","b'Mon Oct 17 22:17:59 +0000 2011'","b'Is it just me or is #iOS5 faster for the iPad? @apple'"
"b'apple'","b'positive'","b'126057030996852737'","b'Mon Oct 17 22:08:32 +0000 2011'","b'making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH'"
"b'apple'","b'positive'","b'126040074595999746'","b'Mon Oct 17 21:01:10 +0000 2011'","b'Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1'"
"b'apple'","b'positive'","b'126034495991328768'","b'Mon Oct 17 20:39:00 +0000 2011'","b'So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.'"
"b'apple'","b'positive'","b'126026756623831041'","b'Mon Oct 17 20:08:14 +0000 2011'","b'@Apple Safari Reader owns the worldwide web'"
"b'apple'","b'positive'","b'126019393460244481'","b'Mon Oct 17 19:38:59 +0000 2011'","b'I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out'"
"b'apple'","b'positive'","b'126009748020658177'","b'Mon Oct 17 19:00:39 +0000 2011'","b'Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp'"
"b'apple'","b'positive'","b'126008369562652672'","b'Mon Oct 17 18:55:11 +0000 2011'","b'Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)'"
"b'apple'","b'positive'","b'126002597063696384'","b'Mon Oct 17 18:32:14 +0000 2011'","b'i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone'"
"b'apple'","b'positive'","b'125999676972470272'","b'Mon Oct 17 18:20:38 +0000 2011'","b'Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w'"
"b'apple'","b'positive'","b'125978568726560768'","b'Mon Oct 17 16:56:46 +0000 2011'","b'4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!'"
"b'apple'","b'positive'","b'125974505385500672'","b'Mon Oct 17 16:40:37 +0000 2011'","b"".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear"""
"b'apple'","b'positive'","b'125959059957485569'","b'Mon Oct 17 15:39:14 +0000 2011'","b'I just sent my grandma a post card using my #CardsApp thanks @Apple'"
"b'apple'","b'positive'","b'125947912306954240'","b'Mon Oct 17 14:54:56 +0000 2011'","b'@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it\'s still alive.'"
"b'apple'","b'positive'","b'125940394566483968'","b'Mon Oct 17 14:25:04 +0000 2011'","b'God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)'"
"b'apple'","b'positive'","b'125925618486489088'","b'Mon Oct 17 13:26:21 +0000 2011'","b'Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)'"
"b'apple'","b'positive'","b'125924446430183425'","b'Mon Oct 17 13:21:42 +0000 2011'","b'Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.'"
"b'apple'","b'positive'","b'125922999651139584'","b'Mon Oct 17 13:15:57 +0000 2011'","b'One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)'"
