id,age,gender,education_level,major,family_income,family_size,housing_condition,financial_aid,poverty_level
166,26,M,本科,计算机科学,93439,5,143,0,2
167,27,M,博士,生物科学,62453,3,148,1,2
168,23,M,博士,生物科学,86997,5,80,0,3
169,22,F,硕士,物理学,94838,6,165,0,3
170,24,M,博士,计算机科学,93706,6,124,1,2
171,28,M,硕士,计算机科学,33754,4,84,0,3
172,24,M,博士,生物科学,47504,3,51,0,3
173,23,F,硕士,计算机科学,45108,2,186,0,3
174,30,M,博士,生物科学,57160,4,63,0,2
175,27,M,硕士,物理学,89022,5,181,0,3
176,30,M,博士,物理学,56580,5,118,0,2
177,27,F,博士,物理学,37561,3,106,0,2
178,30,F,硕士,物理学,33058,5,83,0,2
179,29,M,博士,生物科学,33117,5,120,1,1
180,26,M,硕士,物理学,38039,4,97,0,3
181,25,M,博士,计算机科学,76982,4,182,0,3
182,27,F,博士,计算机科学,83976,3,54,0,3
183,29,F,本科,生物科学,92723,5,106,1,2
184,22,M,硕士,计算机科学,72737,2,171,1,2
185,24,F,博士,物理学,74778,2,69,0,3
186,27,F,硕士,计算机科学,31260,3,197,1,2
187,30,F,硕士,计算机科学,75203,5,101,1,1
188,24,F,硕士,计算机科学,85598,2,81,1,2
189,25,F,硕士,生物科学,53208,2,109,0,3
190,28,M,硕士,计算机科学,87781,5,72,0,3
191,29,F,本科,物理学,55043,3,184,1,1
192,24,F,博士,计算机科学,69034,4,185,0,2
193,22,F,博士,生物科学,77710,4,108,0,3
194,29,F,硕士,生物科学,51835,5,174,0,3
195,25,F,硕士,物理学,57515,3,91,1,2
196,30,M,博士,物理学,57961,5,81,0,2
197,26,M,博士,物理学,42116,3,111,1,1
198,25,M,硕士,物理学,78372,2,92,0,3
199,23,M,博士,计算机科学,92031,6,142,0,2
200,22,M,硕士,物理学,74594,2,152,0,2
201,30,M,硕士,物理学,82841,3,122,0,3
202,22,F,本科,计算机科学,34418,6,126,1,1
203,20,M,本科,生物科学,37740,3,133,1,1
204,23,M,硕士,物理学,52580,4,195,1,1
205,27,F,博士,计算机科学,63863,3,100,1,1
206,25,M,博士,物理学,37540,5,172,1,1
207,29,M,博士,物理学,80106,5,152,0,2
208,27,M,硕士,生物科学,39229,6,176,0,3
209,20,M,本科,生物科学,52332,3,73,1,1
210,29,F,博士,计算机科学,48666,3,98,0,3
211,24,M,硕士,计算机科学,48783,3,99,1,2
212,22,M,博士,计算机科学,90243,4,112,1,2
213,27,F,博士,计算机科学,63830,4,190,0,2
214,21,F,博士,生物科学,79930,5,123,0,2
215,23,F,硕士,计算机科学,59327,4,166,1,1
216,22,F,博士,生物科学,87645,5,90,0,3
217,26,M,博士,物理学,58818,3,153,0,2
218,29,F,本科,物理学,31551,4,141,1,1
219,25,F,硕士,物理学,49466,4,115,1,2
220,20,M,博士,计算机科学,83288,4,132,1,1
221,25,F,硕士,生物科学,77872,4,74,0,2
222,22,M,博士,生物科学,34561,4,157,0,2
223,25,F,硕士,计算机科学,30277,2,163,1,1
224,23,M,本科,生物科学,35976,4,166,1,2
225,28,M,本科,物理学,61041,6,165,1,2
226,21,M,博士,计算机科学,99834,4,60,1,2
227,21,M,本科,物理学,49075,3,113,1,2
228,22,M,博士,生物科学,55615,6,130,0,2
229,30,F,硕士,物理学,61086,2,148,0,2
230,20,F,硕士,物理学,78527,4,58,0,3
231,29,M,本科,计算机科学,88068,4,110,0,3
232,26,F,硕士,生物科学,73683,2,156,1,2
233,25,F,硕士,生物科学,70961,2,168,1,1
234,28,F,本科,生物科学,91404,5,119,1,2
235,25,M,博士,生物科学,31954,5,80,0,2
236,29,F,硕士,计算机科学,46156,4,176,0,3
237,28,M,博士,物理学,88578,5,62,1,2
238,30,F,博士,计算机科学,74164,2,166,0,3
239,23,F,博士,计算机科学,96384,6,52,1,1
240,29,F,硕士,计算机科学,50388,3,102,0,3
241,20,F,硕士,生物科学,82833,6,64,1,1
242,22,M,博士,物理学,68453,5,188,1,2
243,24,F,硕士,计算机科学,34424,5,129,0,2
244,27,M,博士,生物科学,73432,5,75,0,2
245,28,M,本科,生物科学,92713,2,72,0,3
246,26,M,博士,物理学,69140,6,120,0,2
247,30,F,本科,计算机科学,61076,3,112,1,1
248,27,M,博士,计算机科学,53492,3,62,0,3
249,21,F,硕士,生物科学,36198,5,92,1,2
250,21,F,硕士,生物科学,72940,4,190,1,1
251,25,F,博士,计算机科学,53470,4,129,0,3
252,25,M,硕士,生物科学,45822,4,192,1,2
253,20,M,本科,生物科学,39080,3,154,0,3
254,30,M,本科,物理学,37259,6,86,1,2
255,23,M,本科,物理学,47706,4,190,1,1
256,30,M,博士,计算机科学,99834,5,149,0,3
257,29,M,硕士,计算机科学,33926,4,94,0,3
258,28,M,博士,物理学,66150,5,59,1,2
259,29,F,硕士,生物科学,32398,6,150,0,3
260,21,F,硕士,计算机科学,81282,4,190,0,3
261,25,M,博士,计算机科学,57890,3,82,0,3
262,27,F,博士,计算机科学,78994,3,65,0,3
263,27,F,本科,生物科学,50262,3,97,1,2
264,24,M,博士,计算机科学,77049,3,183,0,3
265,25,F,本科,生物科学,46728,5,195,1,1
266,20,M,博士,物理学,40693,3,153,0,2
267,29,M,硕士,物理学,81032,5,133,1,2
268,27,M,博士,物理学,55769,5,65,0,2
269,22,M,本科,生物科学,84923,6,68,1,1
270,29,F,硕士,计算机科学,38368,4,57,0,2
271,28,M,本科,物理学,30552,2,198,1,2
272,28,F,本科,物理学,98622,6,192,0,3
273,25,F,博士,计算机科学,98792,3,197,0,2
274,24,F,硕士,计算机科学,90710,5,149,1,1
275,27,F,硕士,物理学,53787,5,58,0,3
276,28,M,本科,生物科学,32612,4,56,1,2
277,26,M,博士,计算机科学,53051,6,94,0,2
278,22,F,本科,计算机科学,78078,2,77,1,2
279,23,M,博士,生物科学,52296,2,142,0,3
280,22,M,本科,计算机科学,93429,4,108,1,1
281,28,F,本科,生物科学,74284,4,68,0,2
282,25,M,本科,物理学,39606,5,78,1,1
283,25,F,硕士,计算机科学,72740,4,97,0,2
284,30,F,本科,生物科学,82384,6,76,1,2
285,25,M,本科,生物科学,94280,6,101,1,1
286,29,M,博士,物理学,71567,3,178,0,3
287,29,M,本科,物理学,68285,2,198,1,2
288,22,F,博士,计算机科学,45425,4,104,1,1
289,23,M,博士,物理学,69308,6,115,1,2
290,25,F,硕士,物理学,71529,2,129,0,2
291,30,F,硕士,物理学,44244,3,113,0,3
292,21,M,博士,计算机科学,35880,6,176,0,3
293,20,M,博士,物理学,83943,4,71,0,2
294,23,M,博士,生物科学,83378,5,86,0,3
295,22,F,博士,生物科学,85900,5,145,0,3
296,23,M,硕士,计算机科学,98751,6,62,1,2
297,23,F,硕士,生物科学,74242,5,92,1,2
298,29,M,本科,计算机科学,69991,6,193,1,2
299,25,M,博士,物理学,50429,6,66,0,3
300,25,M,本科,计算机科学,74395,4,108,1,2
301,26,M,博士,物理学,96194,5,175,0,2
302,22,M,硕士,计算机科学,62212,3,173,0,2
303,25,M,硕士,生物科学,39182,3,97,0,3
304,29,M,博士,计算机科学,37890,6,53,0,2
305,26,M,博士,物理学,74703,2,153,0,3
306,24,F,本科,物理学,89177,4,173,1,1
307,23,M,博士,物理学,92176,4,162,0,2
308,24,F,硕士,生物科学,68123,2,193,0,3
309,24,F,硕士,物理学,89322,6,137,1,1
310,28,F,博士,计算机科学,90106,5,181,0,2
311,30,M,本科,物理学,94043,3,185,1,2
312,24,F,硕士,物理学,72712,6,176,1,2
313,23,M,本科,物理学,67581,2,177,1,1
314,22,M,本科,生物科学,70599,4,86,1,2
315,26,F,本科,物理学,78066,5,81,1,2
316,30,M,本科,计算机科学,31852,6,78,1,2
317,20,F,博士,计算机科学,78827,4,193,1,2
318,20,M,本科,物理学,80057,5,87,1,2
319,22,F,本科,物理学,46287,6,144,0,3
320,26,M,硕士,物理学,76689,3,67,1,1
321,26,M,硕士,生物科学,56461,2,176,1,2
322,28,M,硕士,物理学,56618,5,136,0,2
323,29,F,硕士,计算机科学,51080,5,142,0,2
324,27,M,博士,物理学,34037,4,122,0,2
325,22,F,本科,物理学,49986,2,122,1,2
326,24,F,博士,计算机科学,87291,4,146,0,2
327,21,M,硕士,物理学,45485,5,176,1,1
328,23,M,博士,计算机科学,51015,2,61,0,2
329,21,F,硕士,生物科学,87485,2,63,1,2
330,26,M,本科,计算机科学,30164,4,73,1,1
331,29,M,本科,物理学,74748,3,134,0,3
332,20,M,硕士,物理学,32211,2,66,0,3
333,29,M,本科,计算机科学,87270,5,116,0,3
334,27,F,硕士,生物科学,35533,6,53,1,2
335,28,F,博士,生物科学,48998,6,74,0,2
336,24,M,本科,生物科学,85479,2,97,0,3
337,20,F,硕士,计算机科学,48303,2,90,0,3
338,27,F,本科,计算机科学,61584,2,170,1,2
339,29,F,本科,生物科学,31024,4,118,1,2
340,29,F,硕士,计算机科学,49764,4,146,1,2
341,22,M,本科,物理学,49894,5,159,1,2
342,30,M,本科,物理学,82865,4,111,1,2
343,24,F,本科,计算机科学,79641,3,85,1,1
344,28,M,博士,计算机科学,77807,3,136,1,2
345,20,F,博士,生物科学,47021,6,134,0,2
346,20,F,博士,生物科学,98975,2,74,0,3
347,25,M,本科,计算机科学,67142,2,130,1,2
348,26,F,博士,物理学,73298,4,125,1,2
349,23,M,硕士,生物科学,79271,6,168,0,2
350,29,F,博士,生物科学,62053,4,104,0,3
351,27,F,硕士,生物科学,39283,4,127,0,2
352,30,F,硕士,生物科学,66218,3,151,0,3
353,29,M,博士,物理学,86634,2,100,0,3
354,23,M,硕士,物理学,31267,2,195,1,2
355,30,F,博士,计算机科学,37089,2,67,1,2
356,30,M,本科,物理学,50922,4,77,1,2
357,20,F,博士,计算机科学,87433,4,160,0,2
358,23,M,本科,物理学,44875,6,70,1,1
359,29,M,本科,生物科学,85566,3,130,1,1
360,26,F,博士,计算机科学,73849,5,136,0,3
361,27,M,硕士,物理学,77822,4,59,0,3
362,25,M,博士,生物科学,82534,5,126,0,3
363,29,M,本科,计算机科学,36921,6,140,1,1
364,21,M,硕士,生物科学,30448,5,192,1,1
365,28,F,本科,计算机科学,45942,3,107,1,1
366,23,M,硕士,物理学,66915,4,130,1,1
367,20,M,硕士,计算机科学,47585,6,160,1,1
368,27,M,博士,生物科学,95999,6,63,0,2
369,24,F,博士,生物科学,91853,5,136,0,3
370,24,F,硕士,物理学,36992,5,91,0,3
371,29,F,本科,生物科学,66924,4,174,1,2
372,30,F,硕士,物理学,36155,3,135,1,1
373,28,F,本科,物理学,56157,4,161,1,2
374,26,F,本科,计算机科学,52502,2,128,0,2
375,24,F,博士,计算机科学,99019,4,86,1,2
376,22,F,本科,生物科学,84160,4,70,1,2
377,23,M,本科,物理学,76026,5,163,1,2
378,22,F,博士,生物科学,37162,6,181,1,2
379,27,M,本科,计算机科学,54607,6,138,1,1
380,30,M,博士,生物科学,85523,6,76,0,2
381,26,F,硕士,生物科学,69235,6,106,1,1
382,30,M,硕士,物理学,73911,2,94,1,1
383,25,M,博士,生物科学,84800,6,145,0,3
384,26,M,本科,计算机科学,49549,2,199,1,2
385,24,F,博士,生物科学,36554,6,165,1,1
386,27,M,本科,计算机科学,32001,6,193,1,2
387,20,M,博士,生物科学,88857,2,84,1,1
388,30,M,硕士,计算机科学,59479,3,153,1,2
389,25,F,博士,生物科学,93267,3,122,1,2
390,23,F,硕士,生物科学,36777,6,89,1,2
391,21,F,博士,计算机科学,75813,4,97,0,2
392,28,F,硕士,物理学,94023,2,119,0,3
393,24,F,本科,物理学,66025,5,80,1,2
394,22,M,博士,物理学,55853,3,170,0,2
395,28,M,博士,计算机科学,99255,5,89,0,3
396,26,M,博士,生物科学,85109,6,69,0,2
397,29,M,本科,物理学,82619,5,99,1,2
398,20,M,博士,物理学,78878,2,104,0,3
399,22,M,博士,计算机科学,53805,6,100,1,2
400,25,M,硕士,物理学,99424,3,151,1,2
401,27,F,本科,生物科学,44252,6,71,1,2
402,27,F,博士,生物科学,74945,3,65,1,1
403,22,M,博士,生物科学,52459,2,155,0,2
404,27,M,硕士,物理学,81426,6,193,0,2
405,22,F,博士,物理学,52829,4,196,0,2
406,21,F,本科,生物科学,50882,2,187,0,2
407,27,F,硕士,物理学,43434,4,54,0,2
408,20,F,本科,计算机科学,96017,3,79,1,1
409,22,M,本科,物理学,92296,3,168,1,2
410,21,F,本科,物理学,90456,2,149,1,1
411,29,M,本科,计算机科学,88408,3,92,0,2
412,24,M,本科,计算机科学,71133,3,61,1,1
413,27,M,博士,计算机科学,84126,2,72,0,3
414,21,M,本科,生物科学,49316,4,159,0,2
415,27,F,本科,计算机科学,67087,2,158,1,1
416,29,F,本科,生物科学,99328,2,60,0,2
417,21,F,硕士,生物科学,69116,5,82,0,2
418,21,M,硕士,生物科学,90840,2,50,1,1
419,20,M,硕士,计算机科学,55014,4,99,0,3
420,20,F,本科,生物科学,84019,3,83,0,3
421,28,M,博士,物理学,45855,2,93,0,3
422,23,M,博士,生物科学,93431,5,161,1,1
423,25,M,硕士,物理学,71569,3,72,1,2
424,20,F,博士,生物科学,58576,6,187,0,3
425,30,F,本科,物理学,76615,4,187,1,1
426,28,M,硕士,计算机科学,31455,5,187,0,2
427,22,F,博士,生物科学,92494,3,64,0,2
428,30,M,本科,物理学,52672,3,188,1,1
429,26,M,本科,计算机科学,84554,4,185,1,2
430,22,F,博士,物理学,99137,2,78,0,3
431,26,M,本科,物理学,68693,6,104,1,1
432,22,F,硕士,物理学,72535,2,161,1,1
433,26,M,本科,计算机科学,82076,6,138,1,1
434,30,F,硕士,计算机科学,31274,4,66,0,2
435,30,F,本科,物理学,46568,2,87,1,2
436,20,F,本科,生物科学,45109,5,144,1,1
437,20,M,本科,计算机科学,99617,6,132,0,2
438,28,M,硕士,生物科学,85685,4,159,1,2
439,21,M,本科,生物科学,57722,5,196,0,2
440,30,M,硕士,生物科学,79605,3,184,0,2
441,24,M,本科,物理学,43095,6,123,1,1
442,30,F,硕士,计算机科学,43142,6,160,1,1
443,29,M,硕士,物理学,73039,5,155,0,3
444,20,F,博士,生物科学,62471,4,79,0,2
445,24,F,本科,物理学,41909,2,56,0,3
446,23,M,本科,计算机科学,61610,2,184,1,1
447,25,F,本科,计算机科学,62132,5,136,1,1
448,27,M,硕士,计算机科学,82590,3,159,0,3
449,30,F,博士,物理学,47469,5,172,0,3
450,26,M,本科,物理学,71114,4,114,0,3
451,30,M,硕士,生物科学,84318,2,109,1,2
452,20,F,博士,生物科学,43090,6,51,0,3
453,27,M,本科,计算机科学,92013,3,186,1,2
454,27,F,博士,物理学,47935,2,143,0,3
455,24,F,博士,物理学,60541,4,148,0,3
456,26,M,硕士,计算机科学,37500,4,80,1,1
457,22,M,硕士,生物科学,67453,3,185,0,2
458,21,M,本科,物理学,55810,2,107,1,2
459,24,M,博士,计算机科学,80947,6,163,1,1
460,20,F,本科,计算机科学,95162,5,72,1,2
461,23,F,博士,物理学,80084,6,129,0,2
462,28,M,本科,物理学,95192,2,116,1,2
463,30,F,硕士,生物科学,89652,2,67,1,2
464,28,F,硕士,物理学,89315,4,137,1,2
465,29,M,博士,物理学,33651,2,65,0,3
466,23,M,博士,计算机科学,38534,5,57,0,2
467,23,M,博士,物理学,43381,5,66,1,2
468,20,F,硕士,物理学,73686,4,168,0,3
469,29,F,本科,计算机科学,51997,5,96,1,1
470,25,F,硕士,计算机科学,71707,4,74,0,2
471,22,M,硕士,生物科学,37264,6,110,0,2
472,26,F,博士,计算机科学,72676,5,118,0,2
473,26,F,硕士,计算机科学,79611,6,60,1,2
474,22,F,硕士,物理学,63595,5,143,0,3
475,20,M,硕士,计算机科学,84991,5,131,1,2
476,24,M,硕士,生物科学,45916,3,66,1,1
477,23,M,博士,生物科学,50646,4,185,0,2
478,29,M,本科,计算机科学,56428,2,137,1,2
479,22,M,本科,物理学,40037,4,51,1,2
480,30,F,博士,计算机科学,46891,2,183,0,2
481,20,M,博士,计算机科学,53816,3,99,0,2
482,25,F,硕士,计算机科学,45387,3,59,0,2
483,25,M,硕士,物理学,30859,3,135,0,2
484,25,F,博士,生物科学,94602,5,124,1,2
485,30,F,博士,计算机科学,48336,5,143,0,2
486,24,M,博士,计算机科学,65627,6,145,0,3
487,22,M,硕士,生物科学,56600,5,137,1,1
488,25,F,硕士,生物科学,75172,2,90,0,3
489,27,F,博士,计算机科学,30280,5,134,0,2
490,20,M,硕士,物理学,99235,6,79,0,3
491,25,F,博士,计算机科学,90658,3,121,0,3
492,30,M,博士,计算机科学,63714,2,157,1,2
493,20,F,本科,生物科学,60226,5,58,1,1
494,28,M,本科,计算机科学,61815,2,61,0,2
495,21,M,硕士,物理学,86078,4,153,1,1
496,24,F,硕士,计算机科学,61831,2,180,0,2
497,23,M,本科,物理学,97109,4,87,1,1
498,28,M,硕士,物理学,87260,3,96,1,1
499,26,M,博士,物理学,63358,6,107,0,3
500,20,M,本科,计算机科学,89548,3,54,1,2
501,25,M,本科,生物科学,44100,2,68,0,3
502,28,F,博士,生物科学,74770,2,147,0,2
503,22,F,本科,计算机科学,99036,5,192,1,2
504,22,M,硕士,物理学,66639,5,83,1,2
505,23,M,博士,生物科学,31830,2,162,0,3
506,23,M,本科,物理学,62392,6,149,1,1
507,27,F,博士,生物科学,96204,5,136,0,3
508,24,F,博士,物理学,78411,6,83,0,3
509,27,M,硕士,生物科学,43353,5,123,1,2
510,23,F,本科,计算机科学,32911,2,171,1,1
511,25,F,博士,生物科学,98914,2,114,0,2
512,22,F,本科,生物科学,87309,4,111,0,2
513,28,M,本科,计算机科学,67941,2,80,1,1
514,28,M,硕士,物理学,45062,4,123,1,2
515,25,M,本科,物理学,56829,5,195,1,2
516,30,F,本科,生物科学,50511,6,184,0,2
517,28,M,本科,生物科学,97000,6,106,0,2
518,24,M,博士,生物科学,67209,5,104,0,3
519,28,F,硕士,生物科学,40070,4,122,0,2
520,25,F,博士,生物科学,31653,3,95,0,2
521,25,M,博士,物理学,97949,2,154,0,3
522,25,F,本科,物理学,90624,2,138,1,1
523,26,F,本科,物理学,41099,3,140,1,2
524,22,M,博士,生物科学,88045,3,179,0,2
525,28,M,本科,生物科学,90487,4,117,1,1
526,30,M,博士,计算机科学,47910,3,66,1,1
527,23,M,本科,物理学,42781,2,145,1,1
528,27,M,本科,生物科学,32794,3,150,1,2
529,23,F,硕士,计算机科学,88470,2,55,1,1
530,28,F,硕士,计算机科学,90714,4,116,0,3
531,22,M,本科,生物科学,59894,4,149,0,2
532,30,F,本科,生物科学,70016,6,200,1,1
533,30,F,硕士,生物科学,41951,2,62,1,2
534,23,M,本科,物理学,59318,6,186,1,2
535,22,F,本科,物理学,49799,2,89,1,1
536,26,F,硕士,计算机科学,92950,6,132,1,1
537,25,M,硕士,计算机科学,92660,2,135,0,3
538,20,M,本科,物理学,48032,3,126,1,1
539,22,F,博士,计算机科学,48869,2,116,0,2
540,29,M,本科,物理学,76679,6,169,1,1
541,24,F,硕士,生物科学,45187,3,186,1,1
542,28,F,博士,生物科学,82757,5,94,1,1
543,24,F,本科,生物科学,54881,3,148,1,2
544,25,M,博士,计算机科学,39045,6,193,1,1
545,24,M,本科,生物科学,78402,2,168,1,2
546,30,F,本科,生物科学,80683,5,183,1,1
547,26,F,本科,计算机科学,60884,2,124,1,1
548,27,M,硕士,生物科学,33757,3,192,0,3
549,28,F,博士,计算机科学,85687,4,172,0,3
